timestamp,R00,R01,R02,R11,R12,R22,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1642.649,0.971,-0.226,0.081,0.970,0.107,0.991,nan,nan,nan,-0.014,0.001,0.001,1.006,0.830,-9.745,1.052,0.103
1642.854,0.971,-0.226,0.081,0.970,0.107,0.991,-0.461,0.695,1.357,-0.011,-0.002,0.000,1.013,0.867,-9.722,1.051,0.103
1643.054,0.971,-0.226,0.081,0.970,0.107,0.991,-0.457,0.698,1.333,-0.011,0.002,-0.001,1.017,0.850,-9.729,1.049,0.102
1643.254,0.971,-0.227,0.081,0.970,0.107,0.991,-0.463,0.691,1.314,-0.014,0.003,-0.002,1.000,0.845,-9.706,1.047,0.101
1643.454,0.971,-0.227,0.081,0.970,0.107,0.991,-0.457,0.684,1.299,-0.013,0.002,-0.002,1.006,0.848,-9.721,1.047,0.101
1643.654,0.970,-0.227,0.081,0.970,0.105,0.991,-0.459,0.672,1.282,-0.015,0.003,0.000,0.914,1.120,-9.415,1.045,0.100
1643.854,0.979,-0.183,0.087,0.980,0.101,0.991,-0.442,0.658,1.266,-0.008,-0.000,0.000,0.583,0.530,-9.439,1.045,0.100
1644.054,0.983,-0.178,0.049,0.980,0.096,0.994,-0.426,0.656,1.257,0.010,-0.013,0.007,0.597,0.939,-9.577,1.043,0.099
1644.254,0.979,-0.203,-0.032,0.979,0.028,0.999,-0.420,0.639,1.245,0.015,-0.028,0.014,1.145,-0.434,-10.074,1.042,0.099
1644.449,0.980,-0.182,-0.077,0.983,0.012,0.997,-0.426,0.633,1.234,-0.015,0.003,-0.002,-1.299,0.873,-8.751,1.041,0.100
1644.654,0.967,-0.187,-0.172,0.982,-0.043,0.984,-0.423,0.630,1.207,-0.024,-0.028,-0.012,-1.338,0.860,-9.894,1.041,0.101
1644.854,0.946,-0.194,-0.261,0.976,-0.150,0.954,-0.418,0.621,1.193,0.011,0.017,-0.008,-2.585,1.986,-8.504,1.040,0.100
1645.049,0.919,-0.298,-0.260,0.936,-0.267,0.928,-0.408,0.606,1.158,0.031,0.055,-0.144,-3.432,-1.288,-12.545,1.039,0.102
1645.254,0.952,-0.278,-0.126,0.958,-0.104,0.987,-0.387,0.604,1.115,0.140,-0.100,-0.448,-0.661,-0.055,-9.922,1.037,0.115
1645.454,0.962,-0.272,0.003,0.962,0.015,1.000,-0.386,0.598,1.041,0.064,-0.201,-0.794,-1.758,-1.161,-10.060,1.035,0.120
1645.654,0.951,-0.043,0.305,0.999,0.010,0.952,-0.398,0.577,0.938,-0.075,-0.103,-0.744,1.223,0.935,-8.764,1.035,0.108
1645.854,0.741,-0.039,0.671,0.999,0.013,0.742,-0.363,0.594,0.885,0.165,0.032,-0.409,7.795,1.202,-3.366,1.035,0.109
1646.054,0.758,-0.245,0.604,0.954,0.013,0.797,-0.365,0.577,0.914,0.256,-0.031,0.153,4.513,1.152,-0.871,1.034,0.123
1646.254,0.845,-0.533,0.042,0.843,-0.053,0.998,-0.377,0.588,1.060,-0.175,0.149,0.866,-0.513,-0.797,-10.939,1.033,0.124
1646.459,0.786,-0.524,-0.329,0.837,-0.026,0.944,-0.407,0.582,1.038,-0.320,0.233,0.642,-4.264,1.395,-11.224,1.032,0.157
1646.654,0.689,-0.505,-0.520,0.839,-0.106,0.848,-0.386,0.530,0.948,-0.189,0.110,0.274,-4.216,2.217,-11.762,1.029,0.116
1646.854,0.709,-0.507,-0.490,0.821,-0.025,0.871,-0.326,0.522,0.909,0.103,-0.068,-0.168,-4.150,2.182,-10.739,1.028,0.105
1647.054,0.756,-0.495,-0.427,0.794,0.130,0.895,-0.316,0.495,0.878,0.032,-0.058,-0.083,-2.817,4.002,-6.877,1.027,0.103
1647.249,0.725,-0.596,-0.346,0.756,0.062,0.936,-0.327,0.487,0.867,-0.076,-0.091,-0.195,-2.644,3.251,-14.328,1.027,0.105
1647.449,0.465,-0.636,0.616,0.756,0.375,0.692,-0.368,0.446,0.591,-1.671,-0.164,-2.625,-7.376,13.254,-22.240,1.026,0.359
1647.649,-0.769,0.139,0.625,0.945,-0.316,-0.714,-0.586,0.804,1.089,-1.418,1.808,1.713,-13.864,10.611,2.760,1.024,0.383
1647.849,-0.885,0.393,0.251,0.805,-0.560,-0.790,-0.071,0.486,1.134,0.550,-1.233,-1.612,-12.500,13.415,21.709,1.020,0.205
1648.049,0.779,0.103,0.619,0.908,-0.378,0.689,0.368,0.178,1.083,2.942,-1.339,1.580,-23.648,3.114,-9.029,1.021,0.319
1648.254,0.740,-0.596,0.313,0.768,-0.048,0.949,-0.146,0.548,1.183,-1.624,-0.194,-1.882,-9.654,2.189,-28.561,1.019,0.251
1648.454,-0.893,0.044,0.447,0.917,-0.374,-0.812,-0.572,0.742,1.157,-1.705,1.718,2.372,-25.014,19.273,1.773,1.019,0.254
1648.854,0.875,-0.300,0.380,0.876,-0.253,0.890,1.244,0.052,1.101,2.281,-0.663,2.340,-21.557,2.859,-8.012,1.014,0.219
1649.054,0.641,-0.513,0.571,0.834,0.153,0.807,0.813,0.150,0.938,-1.350,0.001,-2.292,-7.228,5.158,-22.592,1.012,0.260
1649.254,-0.939,0.095,0.330,0.965,-0.263,-0.907,0.502,0.415,1.091,-0.975,1.297,2.277,-19.151,21.140,16.647,1.012,0.218
1649.454,-0.684,0.236,0.691,0.964,-0.253,-0.678,0.992,0.127,0.911,2.500,-1.644,-1.276,-16.005,18.380,5.343,1.012,0.324
1649.654,0.838,-0.543,0.045,0.795,-0.294,0.955,1.382,0.189,1.237,1.095,0.285,1.972,-33.735,-0.835,-34.264,1.012,0.193
1649.849,-0.015,-0.048,0.999,0.992,0.049,-0.010,0.774,0.253,0.801,-2.661,0.851,-0.708,-18.970,10.911,-3.575,1.011,0.355
1650.049,-0.900,0.436,0.000,0.767,-0.524,-0.852,1.062,0.459,1.275,0.664,-0.084,-0.360,-15.048,17.110,58.168,1.009,0.196
1650.249,0.572,-0.017,0.820,0.994,-0.048,0.571,1.378,-0.210,0.900,2.666,-1.765,1.378,-20.123,2.816,-9.942,1.009,0.312
1650.449,0.802,-0.508,0.313,0.861,0.177,0.933,1.105,0.079,1.077,-0.800,-0.392,-1.767,-10.964,3.013,-37.171,1.007,0.218
1650.654,-0.605,0.117,0.787,0.977,-0.199,-0.583,0.719,0.205,0.849,-1.863,0.987,1.277,-13.722,2.587,-0.860,1.009,0.259
1650.859,-0.816,0.383,0.432,0.871,-0.464,-0.773,0.975,0.044,0.965,0.940,-1.713,-0.880,-9.388,6.711,15.977,1.008,0.261
1651.054,0.880,-0.114,0.460,0.975,-0.118,0.880,1.332,-0.113,1.062,2.079,-0.424,2.284,-25.236,0.120,-11.352,1.008,0.242
1651.254,0.793,-0.400,0.459,0.910,0.101,0.883,0.907,0.066,0.995,-1.546,-0.246,-2.524,-16.688,7.240,-29.340,1.008,0.253
1651.454,-0.681,0.383,0.624,0.893,-0.439,-0.647,0.570,0.374,0.995,-1.230,1.228,1.359,-6.110,14.335,18.623,1.009,0.239
1651.654,0.116,0.250,0.961,0.965,-0.238,0.139,1.419,-0.370,0.932,2.361,-2.043,0.561,-6.652,12.760,-0.833,1.006,0.319
1651.854,0.913,-0.401,-0.071,0.904,-0.189,0.979,1.476,-0.076,1.191,0.568,0.382,1.254,-9.574,-6.780,-22.812,1.005,0.185
1652.054,0.691,-0.165,0.704,0.939,-0.103,0.703,1.238,-0.112,0.851,-1.707,0.166,-1.982,-13.058,6.205,-6.060,1.006,0.254
1652.254,-0.756,0.344,0.557,0.918,-0.367,-0.745,1.120,0.154,1.098,-0.853,1.003,1.298,-2.941,6.604,5.447,1.006,0.192
1652.454,-0.927,0.346,0.145,0.784,-0.588,-0.796,1.318,-0.021,1.173,0.546,-0.804,-0.532,1.625,16.763,18.220,1.006,0.208
1652.649,0.210,0.300,0.931,0.950,-0.311,0.193,1.567,-0.105,1.016,2.397,-1.123,0.385,-5.914,7.213,0.440,1.006,0.289
1652.849,0.928,-0.366,-0.067,0.927,-0.113,0.991,1.429,0.146,1.345,0.434,0.714,2.120,-17.850,7.133,-13.041,1.005,0.180
1653.049,0.772,-0.634,0.056,0.763,-0.116,0.992,1.245,0.115,1.145,-0.514,-0.461,-2.035,-8.584,2.376,-24.831,1.006,0.192
1653.254,-0.055,0.169,0.984,0.980,-0.162,-0.073,1.001,0.299,0.937,-1.672,1.007,-0.005,-4.069,2.287,-1.210,1.008,0.269
1653.454,-0.924,0.348,0.158,0.788,-0.583,-0.797,1.191,0.273,1.306,-0.220,0.687,2.106,-10.932,11.027,14.027,1.006,0.157
1653.654,-0.826,0.442,0.349,0.755,-0.643,-0.682,1.455,-0.066,0.987,0.907,-1.168,-1.282,-0.986,16.843,14.323,1.005,0.232
1653.849,0.487,0.322,0.812,0.935,-0.353,0.465,1.584,0.110,1.004,2.095,-0.641,0.506,-6.951,0.754,-1.666,1.000,0.209
1654.054,0.897,-0.345,-0.275,0.934,-0.190,0.943,1.464,0.287,1.365,0.225,0.919,2.360,-20.366,6.235,-13.693,0.999,0.172
1654.254,0.845,-0.535,-0.001,0.845,-0.026,1.000,1.329,0.256,1.150,-0.332,-0.654,-2.253,-13.396,5.584,-25.280,1.000,0.173
1654.454,-0.202,0.210,0.957,0.978,-0.208,-0.204,1.003,0.481,0.952,-1.651,1.212,0.140,-7.507,-0.149,1.245,1.002,0.276
1654.654,-0.985,0.168,-0.028,0.829,-0.537,-0.843,1.019,0.465,1.313,-0.151,0.562,2.261,-8.460,19.258,16.890,1.002,0.160
1654.854,-0.904,0.276,0.327,0.824,-0.565,-0.758,1.236,0.208,0.944,0.732,-0.695,-1.243,0.561,14.490,15.923,1.000,0.207
1655.249,0.934,-0.314,-0.171,0.938,-0.207,0.963,1.346,0.290,1.218,0.123,0.408,2.279,-18.104,2.446,-14.099,0.999,0.159
1655.449,0.876,-0.473,0.098,0.881,0.049,0.994,1.165,0.257,0.953,-0.530,-0.523,-2.126,-8.714,6.599,-19.922,1.000,0.182
1655.649,-0.053,0.203,0.978,0.979,-0.204,-0.047,0.934,0.458,0.824,-1.534,0.830,0.058,-2.772,1.114,1.059,1.001,0.247
1655.849,-0.969,0.057,0.240,0.935,-0.354,-0.904,1.045,0.395,1.147,-0.476,0.600,2.026,-5.638,6.023,9.163,0.999,0.150
1656.049,-0.950,0.217,0.226,0.791,-0.610,-0.759,1.258,0.235,0.940,0.407,-0.576,-1.160,0.291,12.779,14.681,0.998,0.183
1656.249,-0.200,0.391,0.898,0.911,-0.409,-0.160,1.409,0.223,0.781,1.531,-0.652,-0.575,1.069,2.518,1.924,0.997,0.217
1656.449,0.873,0.088,0.480,0.930,-0.354,0.802,1.410,0.284,1.003,1.151,-0.053,1.520,-5.113,3.293,-7.968,0.996,0.154
1656.649,0.650,-0.513,-0.561,0.857,-0.297,0.773,1.255,0.428,1.248,-0.400,0.698,1.403,-14.653,1.181,-18.950,0.996,0.185
1656.854,0.913,-0.402,0.067,0.888,-0.215,0.974,1.274,0.266,0.894,-0.347,-0.810,-2.224,-13.264,-0.205,-16.997,0.996,0.171
1657.054,0.256,0.428,0.867,0.896,-0.445,0.226,1.035,0.423,0.769,-1.244,0.561,-0.401,-2.874,1.201,0.577,0.997,0.215
1657.254,-0.789,0.058,0.612,0.971,-0.218,-0.761,1.079,0.406,1.040,-0.853,0.354,1.809,-4.584,1.830,3.482,0.996,0.155
1657.454,-0.954,0.051,-0.296,0.838,-0.507,-0.809,1.305,0.370,1.157,0.284,-0.142,0.284,-11.290,8.711,23.245,0.995,0.153
1657.659,-0.816,0.178,0.550,0.943,-0.333,-0.766,1.298,0.181,0.758,0.891,-0.681,-1.269,-0.085,4.969,5.482,0.995,0.196
1657.854,0.157,0.387,0.909,0.912,-0.402,0.111,1.351,0.301,0.864,1.331,-0.541,-0.012,3.491,0.223,0.092,0.992,0.186
1658.054,0.993,0.039,0.110,0.884,-0.467,0.877,1.283,0.319,1.075,0.510,-0.165,1.621,-6.584,-3.138,-6.786,0.991,0.133
1658.254,0.897,-0.141,-0.419,0.971,0.119,0.900,1.153,0.425,1.204,-0.037,0.198,0.297,-10.542,-6.725,-33.832,0.992,0.150
1658.454,0.941,0.041,0.336,0.999,0.003,0.942,1.151,0.236,0.786,-0.654,-0.331,-1.237,-3.489,2.858,-10.282,0.991,0.162
1658.654,0.177,0.372,0.911,0.926,-0.350,0.217,1.044,0.494,0.923,-1.223,0.979,-0.361,-0.145,1.501,-3.334,0.987,0.209
1658.849,-0.869,0.062,0.491,0.962,-0.261,-0.831,1.213,0.410,1.265,-0.725,0.742,1.783,-5.429,0.484,1.378,0.983,0.135
1659.049,-0.939,0.169,-0.300,0.774,-0.549,-0.780,1.365,0.324,1.353,0.206,-0.165,-0.279,-7.513,13.828,12.423,0.983,0.144
1659.249,-0.726,0.371,0.579,0.904,-0.404,-0.708,1.453,0.259,1.072,1.223,-0.840,-1.128,-3.403,3.744,5.608,0.983,0.217
1659.449,0.470,0.312,0.825,0.897,-0.419,0.379,1.638,0.165,1.130,1.642,-0.881,0.744,0.090,0.595,-1.326,0.984,0.215
1659.654,0.936,-0.329,-0.125,0.922,-0.258,0.958,1.633,0.170,1.404,0.405,0.152,2.021,-8.320,8.480,-5.669,0.985,0.151
1659.859,0.721,-0.423,-0.548,0.856,0.018,0.836,1.547,0.252,1.395,0.171,-0.344,-0.175,-4.977,2.125,-19.679,0.985,0.152
1660.049,0.829,-0.209,0.519,0.965,-0.030,0.854,1.478,0.140,1.075,-1.258,0.045,-1.778,-12.799,5.029,-6.233,0.986,0.227
1660.254,-0.453,0.079,0.888,0.997,-0.064,-0.456,1.383,0.418,1.263,-1.128,0.936,0.645,-1.131,-0.151,1.801,0.985,0.220
1660.454,-0.908,-0.042,-0.418,0.960,-0.268,-0.868,1.504,0.332,1.534,0.802,0.462,2.294,-20.760,10.827,7.669,0.985,0.174
1660.654,-0.139,-0.042,-0.989,0.879,-0.102,-0.102,1.698,0.213,1.531,1.208,-0.820,0.770,-11.114,4.732,-3.044,0.986,0.232
1660.854,-0.158,-0.021,-0.987,0.932,-0.076,-0.139,1.619,0.211,1.473,-0.374,0.033,-0.279,-18.345,8.370,3.690,0.986,0.158
1661.249,0.147,0.406,0.902,0.891,-0.426,0.068,1.869,0.067,1.190,1.763,-1.224,0.499,-3.761,1.949,0.159,0.987,0.283
1661.449,0.970,-0.231,-0.070,0.909,-0.372,0.926,1.902,0.116,1.464,0.685,0.026,1.968,-14.315,-2.170,-8.843,0.987,0.157
1661.654,0.274,-0.294,-0.916,0.945,-0.235,0.327,1.629,0.260,1.523,-0.798,0.626,0.900,-14.666,2.649,-6.144,0.988,0.225
1661.849,-0.421,-0.123,-0.899,0.974,-0.191,-0.395,1.596,0.202,1.452,-0.207,-0.101,0.182,-11.530,5.089,-6.948,0.988,0.157
1662.054,0.308,-0.312,-0.899,0.884,-0.156,0.410,1.837,0.124,1.391,1.613,-0.695,-0.657,-17.687,3.832,-11.353,0.989,0.227
